Island,Species,Endemics,Area,Elevation,Nearest,Scruz,Adjacent
Baltra,4.060443011,3.135494216,3.22246936,5.846438775,-0.510825624,-0.510825624,0.609765572
Bartolome,3.433987204,3.044522438,0.21511138,4.691347882,-0.510825624,3.269568939,6.349715748
Caldwell,1.098612289,1.098612289,-1.560647748,4.736198448,1.029619417,4.072439727,-0.248461359
Champion,3.218875825,2.197224577,-2.302585093,3.828641396,0.641853886,3.858622229,-1.714798428
Coamano,0.693147181,0,-2.995732274,4.343805422,0.641853886,0.641853886,6.806630226
Daphne.Major,2.890371758,2.397895273,-1.078809661,4.779123493,2.079441542,2.079441542,0.609765572
Daphne.Minor,3.17805383,0,-2.525728644,4.532599493,1.791759469,2.48490665,-1.078809661
Darwin,2.302585093,1.945910149,0.845868268,5.123963979,3.529297384,5.67057034,1.047318994
Eden,2.079441542,1.386294361,-3.506557897,4.262679877,-0.916290732,-0.916290732,2.887590115
Enderby,0.693147181,0.693147181,-1.714798428,4.718498871,0.955511445,3.916015027,-2.302585093
Espanola,4.574710979,3.258096538,4.065087381,5.288267031,0.09531018,4.480740108,-0.562118918
Fernandina,4.532599493,3.555348061,6.452821527,7.309212366,1.458615023,4.557029811,8.44876873
Gardner1,4.060443011,2.833213344,-0.562118918,3.891820298,0.09531018,4.533674184,4.065087381
Gardner2,1.609437912,1.386294361,-0.248461359,5.424950017,1.526056303,4.130355,-1.560647748
Genovesa,3.688879454,2.944438979,2.853592506,4.33073334,3.858622229,4.523960131,4.863603658
Isabela,5.84932478,4.48863637,8.44876873,7.442492723,-0.356674944,3.335769576,6.452821527
Marchena,3.931825633,3.135494216,4.863603658,5.837730447,3.370738174,4.453183829,4.086984208
Onslow,0.693147181,0.693147181,-4.605170186,3.218875825,1.193922468,3.826465117,-2.302585093
Pinta,4.644390899,3.610917913,4.086984208,6.65544035,3.370738174,4.784152842,4.863603658
Pinzon,4.682131227,3.496507561,2.887590115,6.126869184,2.370243741,2.370243741,-3.506557897
Las.Plazas,2.48490665,2.197224577,-1.46967597,4.543294782,-0.693147181,-0.510825624,3.22246936
Rabida,4.248495242,3.401197382,1.587192303,5.905361848,1.481604541,3.194583132,6.349715748
SanCristobal,5.634789603,4.17438727,6.312859403,6.573680167,3.811097087,4.198704578,-0.562118918
SanSalvador,5.468060141,4.394449155,6.349715748,6.809039306,-1.609437912,2.985681938,1.587192303
SantaCruz,6.095824562,4.553876892,6.806630226,6.761572769,-0.510825624,0,-0.653926467
SantaFe,4.127134385,3.33220451,3.18138162,5.556828062,2.803360381,2.803360381,-0.653926467
SantaMaria,5.65248918,4.290459441,5.141195611,6.461468176,0.955511445,3.895893623,-2.302585093
Seymour,3.784189634,2.772588722,0.609765572,4.990432587,-0.510825624,2.261763098,3.22246936
Tortuga,2.772588722,2.079441542,0.21511138,5.225746674,1.916922612,3.929862924,2.887590115
Wolf,3.044522438,2.48490665,1.047318994,5.533389489,3.529297384,5.540086382,0.845868268
