No.,offenderID,crimeID
1,O:1,C:6
2,O:2,C:2
3,O:3,C:29
4,O:4,C:19
5,O:5,C:18
6,O:6,C:18
7,O:7,C:10
8,O:8,C:5
9,O:9,C:9
10,O:10,C:9
11,O:11,C:15
12,O:12,C:21
13,O:13,C:21
14,O:14,C:17
15,O:15,C:3
16,O:16,C:11
17,O:17,C:11
18,O:4,C:12
19,O:3,C:16
20,O:3,C:23
21,O:3,C:25
22,O:3,C:24
23,O:18,C:1
24,O:19,C:18
25,O:20,C:4
26,O:21,C:27
27,O:22,C:30
28,O:23,C:30
29,O:24,C:31
30,O:25,C:31
31,O:26,C:34
32,O:26,C:35
33,O:27,C:7
34,O:28,C:33
35,O:29,C:36
36,O:30,C:8
37,O:31,C:39
38,O:3,C:40
39,O:17,C:41
40,O:32,C:37
41,O:33,C:26
42,O:34,C:45
43,O:35,C:43
44,O:36,C:42
45,O:37,C:44
46,O:17,C:39
47,O:38,C:48
48,O:39,C:28
49,O:40,C:26
50,O:41,C:46
51,O:42,C:46
52,O:43,C:47
53,O:44,C:50
54,O:45,C:50
55,O:46,C:49
56,O:47,C:56
57,O:48,C:59
58,O:49,C:60
59,O:50,C:60
60,O:51,C:56
61,O:52,C:22
62,O:53,C:32
63,O:54,C:70
64,O:55,C:66
65,O:56,C:52
66,O:57,C:67
67,O:58,C:20
68,O:59,C:62
69,O:59,C:13
70,O:59,C:54
71,O:59,C:55
72,O:59,C:58
73,O:59,C:57
74,O:60,C:64
75,O:61,C:14
76,O:62,C:54
77,O:63,C:73
78,O:64,C:65
79,O:65,C:51
80,O:65,C:53
81,O:66,C:71
82,O:67,C:74
83,O:68,C:74
84,O:69,C:87
85,O:70,C:75
86,O:71,C:75
87,O:72,C:77
88,O:73,C:77
89,O:74,C:84
90,O:75,C:82
91,O:76,C:82
92,O:77,C:80
93,O:78,C:79
94,O:79,C:83
95,O:80,C:76
96,O:81,C:71
97,O:40,C:110
98,O:82,C:110
99,O:72,C:78
100,O:73,C:78
101,O:40,C:78
102,O:40,C:85
103,O:80,C:71
104,O:80,C:63
105,O:83,C:89
106,O:84,C:93
107,O:85,C:92
108,O:86,C:117
109,O:87,C:115
110,O:87,C:118
111,O:88,C:77
112,O:89,C:105
113,O:90,C:125
114,O:91,C:108
115,O:92,C:108
116,O:94,C:95
117,O:81,C:72
118,O:95,C:95
119,O:96,C:96
120,O:97,C:96
121,O:21,C:114
122,O:98,C:116
123,O:99,C:116
124,O:100,C:121
125,O:102,C:100
126,O:103,C:94
127,O:112,C:120
128,O:113,C:90
129,O:118,C:91
130,O:119,C:95
131,O:120,C:86
132,O:121,C:61
133,O:16,C:113
134,O:132,C:123
135,O:133,C:102
136,O:134,C:122
137,O:135,C:81
138,O:145,C:38
139,O:166,C:107
140,O:179,C:33
141,O:31,C:113
142,O:132,C:124
143,O:132,C:106
144,O:198,C:104
145,O:205,C:72
146,O:212,C:99
147,O:212,C:98
148,O:212,C:97
149,O:212,C:103
150,O:246,C:109
151,O:261,C:22
152,O:269,C:38
153,O:166,C:111
154,O:166,C:119
155,O:323,C:112
156,O:361,C:68
157,O:369,C:101
158,O:374,C:72
159,O:377,C:69
160,O:378,C:88
161,O:380,C:88
